district,settlement_type,population_2023,base_weight,distance_to_pavlodar_km,digital_access_index,income_index,mfi_branch_access_index,seasonal_income_risk,source_population,source_context,assumption_notes
Pavlodar city,urban,367254,0.486469,0,0.92,1.12,0.95,0.18,CityPopulation.de table citing Agency of Statistics of Kazakhstan 2023 estimate,Regional center and major city of regional significance,Distance is 0 by definition; access and income indices are modeling assumptions based on urban regional-center status
Ekibastuz,industrial_city,145509,0.192741,135,0.82,1.06,0.82,0.28,CityPopulation.de table citing Agency of Statistics of Kazakhstan 2023 estimate,City with environs and major industrial city,Distance and access indices are modeling assumptions based on industrial-city status
Aksu,industrial_city,72270,0.095729,50,0.78,1.02,0.74,0.30,CityPopulation.de table citing Agency of Statistics of Kazakhstan 2023 estimate,City with environs and industrial city near Pavlodar,Distance and access indices are modeling assumptions based on industrial-city status
Pavlodar district,peri_urban,26692,0.035356,35,0.68,0.96,0.62,0.42,CityPopulation.de table citing Agency of Statistics of Kazakhstan 2023 estimate,District adjacent to regional center,Distance and access indices are modeling assumptions based on peri-urban status
Bayanaul,rural,23712,0.031409,220,0.54,0.88,0.45,0.68,CityPopulation.de table citing Agency of Statistics of Kazakhstan 2023 estimate,Rural district; Bayanaul National Park noted in official regional overview,Distance and access indices are modeling assumptions based on rural/remoteness status
Sharbakty,rural,18981,0.025142,90,0.50,0.84,0.40,0.62,CityPopulation.de table citing Agency of Statistics of Kazakhstan 2023 estimate,Rural district in official administrative structure,Distance and access indices are modeling assumptions
Terenkol,rural,19947,0.026421,110,0.46,0.81,0.36,0.67,CityPopulation.de table citing Agency of Statistics of Kazakhstan 2023 estimate,Rural district in official administrative structure,Distance and access indices are modeling assumptions
Irtysh,rural,17009,0.022530,160,0.42,0.78,0.32,0.72,CityPopulation.de table citing Agency of Statistics of Kazakhstan 2023 estimate,Rural district in official administrative structure,Distance and access indices are modeling assumptions
Zhelezinka,rural,15234,0.020179,180,0.44,0.80,0.34,0.70,CityPopulation.de table citing Agency of Statistics of Kazakhstan 2023 estimate,Rural district in official administrative structure,Distance and access indices are modeling assumptions
Aktogay,rural,12859,0.017033,125,0.50,0.84,0.40,0.64,CityPopulation.de table citing Agency of Statistics of Kazakhstan 2023 estimate,Rural district in official administrative structure,Distance and access indices are modeling assumptions
Akkuly,rural,12491,0.016546,120,0.48,0.82,0.38,0.66,CityPopulation.de table citing Agency of Statistics of Kazakhstan 2023 estimate,Rural district in official administrative structure,Distance and access indices are modeling assumptions
Uspenka,rural,12534,0.016602,95,0.48,0.82,0.38,0.66,CityPopulation.de table citing Agency of Statistics of Kazakhstan 2023 estimate,Rural district in official administrative structure,Distance and access indices are modeling assumptions
May district,rural,10457,0.013851,210,0.38,0.76,0.28,0.76,CityPopulation.de table citing Agency of Statistics of Kazakhstan 2023 estimate,Rural district in official administrative structure,Distance and access indices are modeling assumptions
