scenario,description,feature_count,uses_regional_context,includes_late_payment_count,includes_leakage_columns,notes,model,test_accuracy,test_roc_auc,test_brier_score,test_precision,test_recall,test_f1,cv_accuracy_mean,cv_roc_auc_mean,cv_precision_mean,cv_recall_mean,cv_f1_mean,cv_accuracy_std,cv_roc_auc_std,cv_precision_std,cv_recall_std,cv_f1_std,delta_test_roc_auc_vs_no_leakage,delta_test_brier_score_vs_no_leakage,delta_test_f1_vs_no_leakage,delta_test_recall_vs_no_leakage
all_features_raw,All available columns except identifiers.,26,False,True,True,Diagnostic ceiling; intentionally keeps traditional/leakage-like fields.,Dummy Classifier,0.651,0.5095,0.349,0.7704,0.7755,0.7729,0.6255,0.4814,0.757,0.7525,0.7547,0.0221,0.0305,0.0148,0.0143,0.0145,0.0,0.0,0.0,0.0
all_features_raw,All available columns except identifiers.,26,False,True,True,Diagnostic ceiling; intentionally keeps traditional/leakage-like fields.,Logistic Regression,0.89,0.966,0.0733,0.9556,0.8982,0.926,0.9042,0.9762,0.9709,0.9021,0.9352,0.0066,0.0041,0.0084,0.0059,0.0044,0.1597,-0.1122,0.1327,0.1867
all_features_raw,All available columns except identifiers.,26,False,True,True,Diagnostic ceiling; intentionally keeps traditional/leakage-like fields.,Random Forest,1.0,1.0,0.0124,1.0,1.0,1.0,0.9995,1.0,0.9993,1.0,0.9997,0.001,0.0,0.0013,0.0,0.0007,0.1701,-0.1302,0.2231,0.359
no_leakage_baseline,Default model with identifier and leakage columns removed.,23,False,True,False,,Dummy Classifier,0.651,0.5095,0.349,0.7704,0.7755,0.7729,0.6255,0.4814,0.757,0.7525,0.7547,0.0221,0.0305,0.0148,0.0143,0.0145,0.0,0.0,0.0,0.0
no_leakage_baseline,Default model with identifier and leakage columns removed.,23,False,True,False,,Logistic Regression,0.716,0.8063,0.1855,0.8964,0.7115,0.7933,0.751,0.8278,0.9202,0.7388,0.8196,0.0157,0.0146,0.0086,0.015,0.0124,0.0,0.0,0.0,0.0
no_leakage_baseline,Default model with identifier and leakage columns removed.,23,False,True,False,,Random Forest,0.718,0.8299,0.1426,0.9859,0.641,0.7769,0.7345,0.8223,0.9847,0.6637,0.7928,0.0094,0.0098,0.0068,0.0157,0.0097,0.0,0.0,0.0,0.0
no_late_payment_count,Default leakage-safe model without late_payment_count.,22,False,False,False,Thin-file stress test for the strongest repayment-history proxy.,Dummy Classifier,0.651,0.5095,0.349,0.7704,0.7755,0.7729,0.6255,0.4814,0.757,0.7525,0.7547,0.0221,0.0305,0.0148,0.0143,0.0145,0.0,0.0,0.0,0.0
no_late_payment_count,Default leakage-safe model without late_payment_count.,22,False,False,False,Thin-file stress test for the strongest repayment-history proxy.,Logistic Regression,0.5,0.4863,0.2511,0.7628,0.5039,0.6069,0.4885,0.4684,0.7504,0.4976,0.5983,0.0089,0.0155,0.0074,0.0123,0.0096,-0.32,0.0655,-0.1864,-0.2076
no_late_payment_count,Default leakage-safe model without late_payment_count.,22,False,False,False,Thin-file stress test for the strongest repayment-history proxy.,Random Forest,0.749,0.4918,0.2071,0.7663,0.9674,0.8552,0.745,0.5101,0.7644,0.9641,0.8527,0.0014,0.0307,0.0019,0.0027,0.0006,-0.338,0.0645,0.0783,0.3264
behavioral_only,Behavioral and financial activity signals only.,19,False,False,False,"Excludes demographics, repayment-history proxy, and regional assumptions.",Dummy Classifier,0.651,0.5095,0.349,0.7704,0.7755,0.7729,0.6255,0.4814,0.757,0.7525,0.7547,0.0221,0.0305,0.0148,0.0143,0.0145,0.0,0.0,0.0,0.0
behavioral_only,Behavioral and financial activity signals only.,19,False,False,False,"Excludes demographics, repayment-history proxy, and regional assumptions.",Logistic Regression,0.502,0.4989,0.2509,0.7669,0.5026,0.6073,0.4985,0.4831,0.7592,0.5054,0.6067,0.009,0.0131,0.0065,0.0122,0.0096,-0.3074,0.0653,-0.186,-0.2089
behavioral_only,Behavioral and financial activity signals only.,19,False,False,False,"Excludes demographics, repayment-history proxy, and regional assumptions.",Random Forest,0.735,0.4938,0.2082,0.764,0.9465,0.8455,0.7442,0.5128,0.7663,0.9582,0.8516,0.0064,0.024,0.0046,0.0042,0.0035,-0.3361,0.0656,0.0686,0.3055
regional_only,Pavlodar regional scaffold only.,9,True,False,False,Tests whether regional assumptions alone carry predictive signal.,Dummy Classifier,0.651,0.5095,0.349,0.7704,0.7755,0.7729,0.6255,0.4814,0.757,0.7525,0.7547,0.0221,0.0305,0.0148,0.0143,0.0145,0.0,0.0,0.0,0.0
regional_only,Pavlodar regional scaffold only.,9,True,False,False,Tests whether regional assumptions alone carry predictive signal.,Logistic Regression,0.459,0.551,0.2485,0.8134,0.3812,0.5191,0.4445,0.5084,0.7783,0.3839,0.5134,0.0206,0.0116,0.014,0.0332,0.0309,-0.2553,0.063,-0.2742,-0.3303
regional_only,Pavlodar regional scaffold only.,9,True,False,False,Tests whether regional assumptions alone carry predictive signal.,Random Forest,0.476,0.551,0.2486,0.8151,0.4086,0.5443,0.447,0.5148,0.777,0.3898,0.518,0.0221,0.0155,0.0135,0.0381,0.0346,-0.2789,0.106,-0.2326,-0.2324
behavioral_plus_regional,Behavioral signals plus the Pavlodar regional scaffold.,28,True,False,False,Thin-file scenario without late_payment_count or leakage columns.,Dummy Classifier,0.651,0.5095,0.349,0.7704,0.7755,0.7729,0.6255,0.4814,0.757,0.7525,0.7547,0.0221,0.0305,0.0148,0.0143,0.0145,0.0,0.0,0.0,0.0
behavioral_plus_regional,Behavioral signals plus the Pavlodar regional scaffold.,28,True,False,False,Thin-file scenario without late_payment_count or leakage columns.,Logistic Regression,0.519,0.5469,0.2492,0.7963,0.5,0.6143,0.4915,0.4915,0.7592,0.4917,0.5966,0.0196,0.0104,0.0125,0.0238,0.0209,-0.2594,0.0637,-0.179,-0.2115
behavioral_plus_regional,Behavioral signals plus the Pavlodar regional scaffold.,28,True,False,False,Thin-file scenario without late_payment_count or leakage columns.,Random Forest,0.738,0.529,0.2079,0.763,0.9543,0.848,0.7432,0.5051,0.7664,0.9563,0.8508,0.0068,0.0207,0.0031,0.0092,0.0045,-0.3008,0.0653,0.0711,0.3133
