model,bin,n,mean_predicted_probability,actual_high_risk_rate,calibration_error
Logistic Regression,"(-0.001, 0.1]",45,0.0906,0.5333,-0.4427
Logistic Regression,"(0.1, 0.2]",140,0.144,0.55,-0.406
Logistic Regression,"(0.2, 0.3]",67,0.2324,0.5821,-0.3497
Logistic Regression,"(0.3, 0.4]",84,0.3602,0.631,-0.2707
Logistic Regression,"(0.4, 0.5]",56,0.4349,0.5,-0.0651
Logistic Regression,"(0.5, 0.6]",70,0.5608,0.5286,0.0322
Logistic Regression,"(0.6, 0.7]",59,0.6354,0.5085,0.127
Logistic Regression,"(0.7, 0.8]",112,0.7543,0.9911,-0.2367
Logistic Regression,"(0.8, 0.9]",117,0.8653,1.0,-0.1347
Logistic Regression,"(0.9, 1.0]",250,0.9557,1.0,-0.0443
Random Forest,"(-0.001, 0.1]",0,,,
Random Forest,"(0.1, 0.2]",0,,,
Random Forest,"(0.2, 0.3]",14,0.2876,0.3571,-0.0695
Random Forest,"(0.3, 0.4]",306,0.3588,0.5458,-0.1869
Random Forest,"(0.4, 0.5]",182,0.4315,0.5659,-0.1344
Random Forest,"(0.5, 0.6]",14,0.5209,0.5,0.0209
Random Forest,"(0.6, 0.7]",0,,,
Random Forest,"(0.7, 0.8]",0,,,
Random Forest,"(0.8, 0.9]",28,0.8766,1.0,-0.1234
Random Forest,"(0.9, 1.0]",456,0.9462,1.0,-0.0538
