row_index,model,customer_id,age,gender,employment_status,annual_income,loan_application_amount,total_outstanding_debt,late_payment_count,mobile_banking_logins,online_transfer_frequency,atm_withdrawal_frequency,actual_credit_risk,predicted_credit_risk,high_risk_probability,threshold,probability_margin_from_threshold,error_type,decision_meaning
3292,Logistic Regression,CUST_03292,65,Female,Self-Employed,56029.704,15272.7807,0.0,3,71,3,8,0,1,0.7237,0.5,0.2237,false_positive,Good borrower could be wrongly flagged as high risk.
2046,Logistic Regression,CUST_02046,25,Female,Self-Employed,32772.5406,9534.4814,0.0,3,32,2,6,0,1,0.6695,0.5,0.1695,false_positive,Good borrower could be wrongly flagged as high risk.
4402,Logistic Regression,CUST_04402,27,Female,Employed,51285.6496,4970.4812,20132.8976,3,76,12,8,0,1,0.6663,0.5,0.1663,false_positive,Good borrower could be wrongly flagged as high risk.
1967,Logistic Regression,CUST_01967,41,Male,Employed,57185.3969,8331.308,0.0,3,29,0,3,0,1,0.6594,0.5,0.1594,false_positive,Good borrower could be wrongly flagged as high risk.
891,Logistic Regression,CUST_00891,22,Female,Self-Employed,29410.0289,9391.6032,22103.2125,3,58,11,4,0,1,0.6537,0.5,0.1537,false_positive,Good borrower could be wrongly flagged as high risk.
4706,Logistic Regression,CUST_04706,34,Female,Unemployed,43265.6117,6857.3553,15286.7208,3,44,13,6,0,1,0.6448,0.5,0.1448,false_positive,Good borrower could be wrongly flagged as high risk.
875,Logistic Regression,CUST_00875,32,Male,Unemployed,58475.7726,9069.9696,17380.934,3,55,14,1,0,1,0.6433,0.5,0.1433,false_positive,Good borrower could be wrongly flagged as high risk.
1187,Logistic Regression,CUST_01187,62,Male,Self-Employed,46145.4103,12536.5251,9691.9809,3,51,11,8,0,1,0.6432,0.5,0.1432,false_positive,Good borrower could be wrongly flagged as high risk.
4856,Logistic Regression,CUST_04856,62,Male,Unemployed,42085.1919,12750.1589,10806.4978,3,3,3,7,0,1,0.6417,0.5,0.1417,false_positive,Good borrower could be wrongly flagged as high risk.
1799,Logistic Regression,CUST_01799,53,Female,Self-Employed,68040.8786,14944.963,6733.8704,3,9,16,4,0,1,0.6365,0.5,0.1365,false_positive,Good borrower could be wrongly flagged as high risk.
4127,Logistic Regression,CUST_04127,32,Female,Employed,41511.6553,8897.6607,1256.2703,3,6,2,8,0,1,0.6327,0.5,0.1327,false_positive,Good borrower could be wrongly flagged as high risk.
4834,Logistic Regression,CUST_04834,28,Female,Employed,53271.8401,15320.2575,14019.2061,3,21,8,5,0,1,0.632,0.5,0.132,false_positive,Good borrower could be wrongly flagged as high risk.
4899,Logistic Regression,CUST_04899,62,Female,Unemployed,50416.5742,13028.5967,15285.849,3,54,2,8,0,1,0.6298,0.5,0.1298,false_positive,Good borrower could be wrongly flagged as high risk.
3864,Logistic Regression,CUST_03864,52,Female,Employed,47222.0532,14224.029,6146.4207,3,79,1,3,0,1,0.6245,0.5,0.1245,false_positive,Good borrower could be wrongly flagged as high risk.
3659,Logistic Regression,CUST_03659,46,Male,Unemployed,26996.9021,7693.3435,16740.4414,3,25,9,7,0,1,0.62,0.5,0.12,false_positive,Good borrower could be wrongly flagged as high risk.
388,Logistic Regression,CUST_00388,41,Female,Employed,38506.9636,15143.3838,15613.7222,3,5,1,2,0,1,0.6192,0.5,0.1192,false_positive,Good borrower could be wrongly flagged as high risk.
2840,Logistic Regression,CUST_02840,60,Female,Employed,70132.9672,10213.9195,18870.0252,3,42,15,8,0,1,0.6174,0.5,0.1174,false_positive,Good borrower could be wrongly flagged as high risk.
810,Logistic Regression,CUST_00810,65,Female,Self-Employed,19638.3602,13356.0915,4521.872,3,22,16,2,0,1,0.6157,0.5,0.1157,false_positive,Good borrower could be wrongly flagged as high risk.
2673,Logistic Regression,CUST_02673,44,Male,Employed,57783.837,7560.2281,418.7898,3,73,3,7,0,1,0.6146,0.5,0.1146,false_positive,Good borrower could be wrongly flagged as high risk.
612,Logistic Regression,CUST_00612,28,Male,Employed,58062.7521,11121.6212,9069.2376,3,23,3,9,0,1,0.6142,0.5,0.1142,false_positive,Good borrower could be wrongly flagged as high risk.
576,Logistic Regression,CUST_00576,43,Female,Employed,67871.7944,10225.0962,15481.1394,3,31,1,1,0,1,0.6119,0.5,0.1119,false_positive,Good borrower could be wrongly flagged as high risk.
4139,Logistic Regression,CUST_04139,64,Male,Self-Employed,40660.391,19250.9166,13546.4386,3,47,14,0,0,1,0.6107,0.5,0.1107,false_positive,Good borrower could be wrongly flagged as high risk.
1227,Logistic Regression,CUST_01227,59,Other,Unemployed,28593.9683,9608.8795,12502.738,3,55,9,6,0,1,0.6071,0.5,0.1071,false_positive,Good borrower could be wrongly flagged as high risk.
2875,Logistic Regression,CUST_02875,65,Other,Self-Employed,67996.8234,8352.5516,15061.2365,3,26,18,7,0,1,0.6069,0.5,0.1069,false_positive,Good borrower could be wrongly flagged as high risk.
2490,Logistic Regression,CUST_02490,52,Female,Unemployed,27331.3171,7325.1276,17516.4606,3,2,8,6,0,1,0.6067,0.5,0.1067,false_positive,Good borrower could be wrongly flagged as high risk.
