model,policy,segment_feature,segment_value,n,actual_high_risk_rate,auto_approval_rate,manual_review_rate,auto_decline_rate,high_risk_approval_rate,good_borrower_auto_decline_rate,mean_high_risk_probability
Logistic Regression,balanced_review,employment_status,Employed,361,0.7645,0.2853,0.2382,0.4765,0.2138,0.0,0.5963
Logistic Regression,balanced_review,employment_status,Self-Employed,305,0.7541,0.2852,0.223,0.4918,0.2,0.0133,0.5981
Logistic Regression,balanced_review,employment_status,Unemployed,334,0.7784,0.2635,0.2665,0.4701,0.2038,0.0,0.5932
Logistic Regression,balanced_review,gender,Female,352,0.7301,0.2841,0.2528,0.4631,0.214,0.0105,0.5876
Logistic Regression,balanced_review,gender,Male,314,0.7771,0.2452,0.2611,0.4936,0.168,0.0,0.6167
Logistic Regression,balanced_review,gender,Other,334,0.7934,0.3024,0.2156,0.482,0.234,0.0,0.5849
Logistic Regression,inclusion_first,employment_status,Employed,361,0.7645,0.3906,0.2521,0.3573,0.308,0.0,0.5963
Logistic Regression,inclusion_first,employment_status,Self-Employed,305,0.7541,0.3803,0.2885,0.3311,0.2565,0.0,0.5981
Logistic Regression,inclusion_first,employment_status,Unemployed,334,0.7784,0.4042,0.2725,0.3234,0.2962,0.0,0.5932
Logistic Regression,inclusion_first,gender,Female,352,0.7301,0.4176,0.2614,0.321,0.2996,0.0,0.5876
Logistic Regression,inclusion_first,gender,Male,314,0.7771,0.3535,0.293,0.3535,0.2664,0.0,0.6167
Logistic Regression,inclusion_first,gender,Other,334,0.7934,0.4012,0.2575,0.3413,0.2981,0.0,0.5849
Logistic Regression,lender_protective,employment_status,Employed,361,0.7645,0.1385,0.2521,0.6094,0.0942,0.3412,0.5963
Logistic Regression,lender_protective,employment_status,Self-Employed,305,0.7541,0.118,0.2623,0.6197,0.0957,0.24,0.5981
Logistic Regression,lender_protective,employment_status,Unemployed,334,0.7784,0.1228,0.2814,0.5958,0.0885,0.2162,0.5932
Logistic Regression,lender_protective,gender,Female,352,0.7301,0.1534,0.2642,0.5824,0.1206,0.2632,0.5876
Logistic Regression,lender_protective,gender,Male,314,0.7771,0.0892,0.2643,0.6465,0.0574,0.3429,0.6167
Logistic Regression,lender_protective,gender,Other,334,0.7934,0.1347,0.2665,0.5988,0.0981,0.2029,0.5849
Logistic Regression,starter_loan_review,employment_status,Employed,361,0.7645,0.2521,0.3657,0.3823,0.1812,0.0,0.5963
Logistic Regression,starter_loan_review,employment_status,Self-Employed,305,0.7541,0.2361,0.4,0.3639,0.1609,0.0,0.5981
Logistic Regression,starter_loan_review,employment_status,Unemployed,334,0.7784,0.2275,0.4192,0.3533,0.1731,0.0,0.5932
Logistic Regression,starter_loan_review,gender,Female,352,0.7301,0.2443,0.4034,0.3523,0.1946,0.0,0.5876
Logistic Regression,starter_loan_review,gender,Male,314,0.7771,0.2166,0.4076,0.3758,0.1434,0.0,0.6167
Logistic Regression,starter_loan_review,gender,Other,334,0.7934,0.2545,0.3713,0.3743,0.1774,0.0,0.5849
